;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz;',./
Length=4
InvalidChar=;iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
/ 、
alha 嗷
alhl 啊哈
ali 吖
alik 嗌
alix 吖
alk 嗄
alkg 嚣
alkg 嗄
almz 啊
alp 霭
alpk 奥林匹克
alps 霭
alqc 按劳取酬
alr 嗳
alri 嗳
alsj 阿拉斯加
alx 呆
alyl 哎呀
alyl 哎哟
alz 呵
alzl 呵
am 阿
amag 阿猫阿狗
ambl 阿波罗
ambr 阿爸
amcz 阿昌族
amds 哀莫大于心死
amef 阿尔法
amet 阿尔泰
amf, 阿飞
amfh 阿富汗
amgs 安民告示
amgt 阿根廷
amgz 阿哥
ami 隘
amik 隘
amkl 隘口
amlb 阿拉伯
amlh 阿罗汉
amlq 阿联酋
amm, 阿妈
amms 阿曼
ammu 阿门
amnz 爱莫能助
ampc 阿婆
ampq 阿帕奇
amrz 爱民如子
amtq 澳门特别行政区
amwl 傲慢无礼
amxl 阿莫西林
amy, 阿姨
amyp 阿谀
amzl 阿
anbz 按捺不住
ao 案
ao,z 安
aobf 安保
aobh 安邦
aobx 案板
aocu 安插
aod; 安顿
aodk 安达
aodo 安定
aody 安度
aof, 案发
aofr 安分
aoft 案犯
aofu 安抚
aofy 安放
aogl 安哥拉
aohe 安徽
aoho 懊悔
aohs 安徽省
aojf 案件
aojh 安静
aoji 案卷
aojj 安吉
aojn 安居
aojo 安家
aojs 安监
aojx 安检
aoky 安康
aolf 案例
aolh 安理会
aols 安乐死
aolt 安乐
aolw 安乐窝
aomg 安眠
aomn 安民
aomp 安谧
aomy 安眠药
aon. 安能
aono 安宁
aono 懊恼
aopb 安排表
aopu 安排
aopv 安培
aoqb 安全部
aoqe 安琪儿
aoqf 安全
aoqg 安全感
aoqh 安琪
aoqj 安全局
aoqm 安全帽
aoqo 案情
aoqq 安全区
aoqt 安全套
aoqx 安全性
aoqy 安庆
aort 安然
aosa 安上
aosg 安睡
aosj 懊丧
aosp 安神
aosq 安适
aosw 安身
aoto 案头
aow 懊
aow. 懊
aown 安慰
aowq 安稳
aowt 安危
aox 案
aoxp 安心
aoxp 安详
aoxs 安歇
aoxu 安闲
aoxw 安息
aoxy 安享
aoym 安阳
aoyt 安逸
aozb 安葬
aozf 案值
aozg 安置
aozm 案子
aozy 安装
ap 袄
apqr 袄
apsy 谙熟
apy 谙
apyi 谙
aq 矮
aqbw 安全保卫
aqbz 安全保障
aqcs 安全措施
aqdy 安全第一
aqg 岙
aqgf 矮个
aqgh 按期归还
aqgx 岙
aqgz 安全工作
aqhf 氨化
aqjc 安全检查
aqjj 氨基
aqjs 氨基酸
aqjy 安全教育
aqkk 安全可靠
aqmh 鞍前马后
aqo 氨
aqo/ 氨
aqpd 矮胖
aqqd 矮
aqqq 氨气
aqqv 矮墙
aqsc 安全生产
aqsg 氨水
aqss 安全设施
aqsy 安全使用
aqwt 安全问题
aqxd 矮小
aqxs 安全系数
aqxt 安全系统
aqyh 安全隐患
aqzm 矮子
ar 爱
arc/ 爱巢
arcl 爱吃
arcq 爱称
ardh 爱德华
ardj 爱戴
ards 爱迪生
arel 爱尔兰
arfu 爱抚
argg 爱国
argz 爱国者
arh, 爱好
arhc 爱河
arho 爱恨
arhu 爱护
arhz 爱好者
arjo 爱家
ark. 爱
arlf 爱侣
arlo 爱怜
arlx 爱立信
arly 爱恋
armb 爱慕
armi 爱美
armn 爱民
armz 爱面子
arn, 爱女
arnf 爱你
arq; 爱妻
arqk 爱犬
arqo 爱情
arrf 爱人
arrm 爱人民
arsa 爱上
arsp 爱神
arss 黯然失色
arts 安如泰山
arwq 爱我
arwy 安然无恙
arxh 黯然销魂
arxo 爱惜
arxp 爱心
arxx 爱学习
aryc 爱液
aryy 爱意
arzb 爱滋病
arzg 爱祖国
arzo 爱憎
as 暗
asaj 碍手碍脚
asas 暗暗
asbj 阿塞拜疆
ascb 暗藏
ascc 暗潮
asct 暗处
ascy 暗疮
asdc 暗淡
asdl 暗地里
asdv 暗地
asey 埃塞俄比亚
asfp 暗访
asgg 昂贵
ash/ 暗红
ashf 暗含
ashl 暗号
asho 暗害
asjk 暗礁
asjm 爱斯基摩
asjq 暗箭
askb 昂首阔步
aslc 暗流
aslm 安身立命
asly 暗恋
asms 暧昧
asny 爱沙尼亚
aspl 阿司匹林
asqb 暗送秋波
asql 暗器
asr 暧
asri 暧
asrt 昂然
assf 暗伤
assh 暗示
assi 昂首
assq 暗算
assr 暗杀
assz 暗示着
ast 昂
astm 昂
astq 唉声叹气
astx 昂首挺胸
aswc 按时完成
asxj 暗喜
asxq 暗箱
asxx 暗想
asyi 暗
asyl 暗喻
asys 暗影
asyu 昂扬
asyy 暗夜
aszg 暗中
aszw 暗自
atbp 凹凸不平
ath 犴
athx 犴
atsj 按图索骥
au 按
au. 挨
au.q 挨
au/ 拗
au/p 拗
aubl 按比例
auca 按此
aud; 按到
audu 挨打
auet 挨饿
augd 按规定
augf 挨个
augl 按惯例
auje 挨近
aujh 按计划
auju 按揭
aujz 按键
auk 捱
aukl 拗口
aukv 捱
aulh 按理
auls 按理说
auml 挨骂
aumy 按摩
aunq 按年
aunu 按捺
aunz 按钮
auo/ 按
auqj 按期
aurs 按日
ausp 按说
auss 按时
auxj 按下
auxl 按需
auxy 按序
auy 揞
auyd 按月
auyi 揞
auyk 按压
auyp 按语
auzf 按住
auzi 按着
auzj 挨整
auzs 按照
auzu 挨揍
auzy 按章
av 埃
av.q 埃
av/ 坳
av/p 坳
avjt 埃及
avk 埯
avku 埯
aw 奥
aw. 翱
aw.; 翱
awaw 皑皑
awdg 奥迪
awdl 奥地利
awg 皑
awgg 皑
awjw 爱屋及乌
awkv 奥
awm, 奥妙
awmq 奥秘
awsw 奥申委
awtr 暗无天日
awwh 奥委会
awxi 翱翔
awyc 奥运村
awyh 奥运
ax 桉
axcz 暗箱操作
axfp 按需分配
axgz 安心工作
axjx 暗下决心
axo/ 桉
axsx 桉树
axsy 暗香疏影
ay 哀
ayby 癌变
aycq 哀愁
aydo 哀悼
ayf 鏖
ayfh 鏖
aygd 按有关规定
ayh 廒
ayha 廒
ayhl 哀号
ayjl 哀叫
ayk 庵
ayku 庵
ayl 癌
ayl 哀
ayll 癌
ayml 哀鸣
ayqj 哀求
aysf 哀伤
aysg 哀思
ayst 爱因斯坦
aytl 哀叹
ayto 哀恸
ayty 哀痛
ayxb 癌细胞
ayxz 安于现状
ayyt 哀乐
ayza 鏖战
ayzj 哀哉
ayzy 癌症
ayzz 安营扎寨
az 铵
azfm 爱憎分明
azgd 按照规定
azgz 安置工作
azm 锕
azmz 锕
azo/ 铵
azrs 安之若素
azy 锿
azyl 锿
azyv 铵盐
b 不
b, 边
b,; 妣
b,;t 妣
b,ao 办案
b,bc 办不成
b,bd 办不到
b,bh 办班
b,bu 办报
b,ck 办成
b,cm 边陲
b,d; 办到
b,dd 办得到
b,de 办得
b,dv 边地
b,fc 办法
b,fj 边防军
b,fm 边防
b,gf 办公费
b,gi 边关
b,gl 办公楼
b,gr 办公
b,gs 办公室
b,gt 办公厅
b,gz 办公桌
b,h 婊
b,h, 办好
b,ha 婊
b,hs 办好事
b,j/ 办结
b,jg 边界
b,jl 边距
b,jm 边际
b,jn 边疆
b,jt 边角
b,jv 边境
b,jx 边界线
b,kx 边框
b,lh 办理
b,ll 边路
b,n, 婢女
b,o 办
b,pv 边
b,qv 办起
b,qz 边区
b,sa 边上
b,sc 办事处
b,sj 办事
b,ss 办实事
b,sy 办事员
b,tr 办妥
b,w 婢
b,wn 婢
b,wo 办完
b,x/ 边线
b,xo 办学
b,xq 边线球
b,y/ 边缘
b,yc 边沿
b,yh 边远
b,zm 婊子
b,zp 办证
b. 弁
b.g 畚
b.gj 畚
b.kx 弁
b/ 编
b/b, 编办
b/ce 驳斥
b/ck 编成
b/cm 编出
b/cq 编程
b/d 绷
b/dd 绷
b/df 绊倒
b/dj 绷带
b/dm 编队
b/dn 编导
b/do 编定
b/dp 编订
b/f 缏
b/f/ 缤纷
b/fj 缏
b/fz 绑匪
b/h 绑
b/hg 驳回
b/hk 绑
b/hl 编号
b/i 绊
b/ih 绊
b/j 骠
b/j, 绑架
b/j; 编辑
b/jb 编辑部
b/jm 骠
b/jn 编剧
b/jq 编辑器
b/js 绊脚石
b/kq 驳壳枪
b/mk 编码
b/ns 编年史
b/nt 编年体
b/o 缤
b/o, 缤
b/pj 绑票
b/pk 编
b/pu 编排
b/r 驳
b/rr 编入
b/rr 驳
b/sa 绑上
b/so 编审
b/td 绑腿
b/wh 编委会
b/wq 编委
b/wt 编外
b/xp 编写
b/xq 编选
b/yp 编译
b/yt 编印
b/z/ 编织
b/za 编者按
b/zb 编著
b/zf 绑住
b/zj 编者
b/zk 绑在
b/zq 编制
b/zq 编造
b/zq 编纂
b/zu 编撰
b; 比
b;bs 比不上
b;ds 比得上
b;fr 比分
b;fs 比方说
b;fy 比方
b;gy 比高
b;h; 比划
b;j 毕
b;j; 比较
b;jf 比价
b;jg 比较高
b;jh 比较好
b;jn 比基尼
b;jp 比肩
b;js 毕竟是
b;jy 毕竟
b;k 毙
b;k. 毙
b;lc 比例尺
b;lf 比例
b;ll 毕露
b;ls 比利时
b;ly 比率
b;mf 毙命
b;mi 比美
b;my 比目鱼
b;nu 比拟
b;p 毖
b;pi 毖
b;pu 比拼
b;qn 比去年
b;qv 比起
b;qw 比丘
b;r, 比如
b;rs 比如说
b;ru 比热
b;sb 比萨饼
b;so 比赛
b;sp 比试
b;sq 毕生
b;sz 比赛中
b;t 比
b;tl 比特率
b;tq 比特
b;wh 比武
b;xo 比兴
b;y. 比翼
b;yb 毕业班
b;yh 毕业后
b;yl 比喻
b;ys 毕业
b;yw 比以往
b;yy 毕业于
b;zf 比值
b;zi 比着
b;zq 比重
b;zs 比照
ba 北
ba; 辈
ba;j 辈
baa 步
baag 北岸
baax 步
baay 悲哀
bab, 北边
baba 步步
babg 步步高
babq 北半球
babs 步兵师
babt 背包
babw 步兵
baby 北部
baby 背部
baby 北冰洋
bacf 北侧
bacm 辈出
baco 悲惨
bacq 步长
bad 背
bad. 背对
badb 背对背
badh 北戴河
badj 背带
badk 北大
badl 背地里
bado 北斗
badp 步调
badv 背地
badx 北斗星
bae 彪
baec 彪
bafa 北非
bafc 步法
bafe 背反
baff 步伐
bafg 步幅
bafo 悲愤
bafr 辈分
baft 背负
baft 北风
bafu 步阀
bafy 北方
bag. 悲观
bagf 背光
bagg 北国
bagz 悲歌
bah. 悲欢
bahc 北海
bahd 北海道
bahe 背后
bahg 背黑锅
bahj 步话机
bajg 北极光
bajn 悲剧
bajq 北极圈
bajr 北京人
bajs 背景
bajx 北极
bajy 北京
bajz 北京站
bakb 悲苦
bakq 背靠
ball 北路
baln 步履
balx 北麓
baly 背离
baly 悲凉
bam 邶
bami 北美
bamk 背面
bamk 北面
bamo 悲悯
bamu 北门
bamz 北美洲
baok 北欧
bap 悲
bapi 背叛
bapl 北平
bapo 悲
baq; 悲切
baqc 悲泣
baqo 悲情
baqt 背鳍
baqv 背起
baqx 步枪
baqy 背弃
barr 步入
bas/ 背书
basa 背上
basa 北上
basf 悲伤
baso 北宋
basp 背诵
bass 不谙世事
bat 龅
bat 北
batl 悲叹
batn 龅
bato 悲恸
batu 背投
baty 悲痛
baw/ 北纬
bawd 北温带
bawq 北魏
baxe 步行
baxj 悲喜
baxp 背心
baxw 背向
bay/ 北约
bayc 北洋
baym 背阴
bays 背影
baz/ 步骤
bazi 背着
bazm 步子
bazt 北周
bazy 悲壮
bb 薄
bb; 荜
bb;t 芘
bb;t 荜
bbad 苯胺
bbbb 薄薄
bbbk 不卑不亢
bbbx 薄板
bbby 褒贬不一
bbc 菠
bbc, 菠
bbcb 菠菜
bbcj 薄
bbcn 薄层
bbcy 百步穿杨
bbdd 斑斑点点
bbdy 并不等于
bbf 蓓
bbfj 苯酚
bbfl 葆
bbfy 蓓
bbhb 薄荷
bbhh 苯环
bbi 蔽
bbig 蔽
bbj 苯
bbjb 芭蕉
bbjj 苯基
bbjl 变本加厉
bbjp 荸
bbjr 苯
bbjs 比比皆是
bbjs 半壁江山
bbjz 标本兼治
bbk 茇
bbk. 茇
bbks 必不可少
bblb 菠萝
bblb 芭蕾
bblq 薄利
bblw 芭蕾舞
bbm 芭
bbm; 芭
bbmd 薄膜
bbmm 爸爸妈妈
bbmy 蓖麻
bbn 薜
bbnc 薜
bbpw 薄片
bbqb 荸荠
bbqg 遍布全国
bbqo 薄情
bbr 蕃
bbrd 兵败如山倒
bbrn 薄弱
bbrq 蕃
bbs/ 薄纱
bbsj 勃勃生机
bbss 颁布实施
bbt 苞
bbtg 薄田
bbtn 苞
bbtt 蹦蹦跳跳
bbu 菝
bbuk 菝
bbw 萆
bbw 蓖
bbw, 蓖
bbwc 卑鄙无耻
bbwl 薄雾
bbwn 萆
bbwy 步步为营
bbxr 兵不血刃
bby 苄
bbyf 苄
bbyi 蒡
bbyl 彬彬有礼
bbyz 兵不厌诈
bbz/ 薄纸
bbzd 不败之地
bbzj 八拜之交
bbzy 不白之冤
bc 波
bc,g 波
bca 濒
bcaa 濒
bcc; 泊车
bccq 波长
bcdh 波动
bcdn 波导
bcdw 波段
bceb 不辞而别
bceg 波恩
bcfg 波峰
bcgf 波光
bcgm 本草纲目
bcgr 波谷
bcgt 百尺竿头
bchc 渤海
bchg 波黑
bchw 渤海湾
bchx 包藏祸心
bchy 本次会议
bcj 渤
bcjc 滨江
bcjp 渤
bcjt 波及
bckr 病从口入
bcl 灞
bclc 波澜
bclc 波浪
bclh 保持良好
bcli 波兰
bclm 灞
bcls 濒临
bcmj 鞭长莫及
bcnn 泌尿
bco 滨
bco, 滨
bcp 泌
bcpi 泌
bcpp 波谱
bcq 滗
bcqi 滗
bcs 瀑
bcsd 波士顿
bcsj 波斯
bcsj 瀑
bcsl 不出所料
bcsm 补充说明
bcsq 抱残守缺
bcsw 波斯湾
bctc 波涛
bctt 不成体统
bcw 泊
bcw/ 波纹
bcwd 保持稳定
bcwj 浜
bcwn 濞
bcwn 泊
bcwt 濒危
bcxc 别出心裁
bcxh 报仇雪恨
bcxk 不辞辛苦
bcxw 不耻下问
bcy 汴
bcyf 汴
bcyh 濒于
bcyy 波音
bcyz 保持一致
bczc 博采众长
bczj 彼此之间
bczu 波折
bd 胞
bdbl 宝刀不老
bdbs 不打不相识
bdby 百读不厌
bdch 不到长城非好汉
bdcx 不断创新
bddi 胞弟
bdec 背道而驰
bdeq 拔地而起
bdez 不得而知
bdfd 膘肥
bdfh 标点符号
bdfs 表达方式
bdfz 不断发展
bdgj 变得更加
bdgr 病毒感染
bdhs 不到黄河心不死
bdj 脖
bdjm 膘
bdjn 膊
bdjp 脖
bdjq 不断加强
bdjs 博大精深
bdkd 不断扩大
bdkh 遍地开花
bdkn 不大可能
bdky 不但可以
bdlg 布达拉宫
bdls 弊多利少
bdm, 胞妹
bdnl 表达能力
bdo 膑
bdo, 膑
bdqj 不断前进
bdrx 不得人心
bdsh 冰冻三尺非一日之寒
bdsr 不断深入
bdss 不动声色
bdtd 胞胎
bdtg 不断提高
bdtn 胞
bdwl 宝刀未老
bdws 不断完善
bdxl 胞兄
bdxy 北大西洋
bdxz 拔刀相助
bdy 膀
bdyi 膀
bdyl 不得要领
bdyy 棒打鸳鸯
bdzc 不当之处
bdzm 脖子
bdzz 不打自招
be 般
be, 彼
be,g 彼
be; 舭
be;t 舭
beag 彼岸
bebj 避而不见
bebt 避而不谈
beca 彼此
becj 彼此间
bee 舨
bee. 舨
befm 不二法门
begd 贝尔格莱德
belp 舶来品
bels 白俄罗斯
bepj 般配
berb 般若
besk 布尔什维克
bess 彼时
bet. 般
bew 舶
bewn 舶
beyz 避而远之
bf 卜
bfao 保安
bfaz 保安族
bfbd 边防部队
bfbf 伯伯
bfbj 保本
bfbp 便被
bfbu 便把
bfbz 保镖
bfbz 百发百中
bfca 便餐
bfcb 保藏
bfcc 白发苍苍
bfck 保存
bfcl 不费吹灰之力
bfcq 保存期
bfcu 保持
bfcz 保持着
bfd; 便到
bfdf 便当
bfdi 保单
bfdi 便道
bfdk 傍大款
bfdo 保定
bfdq 部分地区
bfdx 百废待兴
bfdy 保底
bfeo 保额
bfet 伴儿
bffd 便服
bffn 保费
bffr 伯父
bfft 便饭
bffz 不法分子
bfgk 倍感
bfgq 保管
bfgy 保管员
bfhc 保护层
bfhf 便会
bfhg 保护国
bfhm 保函
bfhp 保皇派
bfhq 保护区
bfhr 保护人
bfhu 保护
bfhw 保护网
bfi 伴
bfih 伴
bfir 煲
bfj 便
bfj, 倍加
bfj/ 保级
bfjc 保健操
bfjf 保健
bfjh 保监会
bfjn 便
bfjo 保家
bfjp 保健品
bfjq 便笺
bfjr 伯爵
bfju 便捷
bfjx 百废俱兴
bfjy 便将
bfk 佰
bfkg 佰
bfkz 便可
bfl 保
bfl. 堡垒
bfla 保龄
bfld 保留地
bflf 伴侣
bflh 保理
bflp 伴郎
bflq 便利
bflq 保龄球
bfls 保量
bflt 保留
bflx 保
bfly 倍率
bfm, 保姆
bfm/ 伯母
bfmh 伯明翰
bfmn 便民
bfmo 保密
bfmq 便秘
bfn, 伴娘
bfn. 便能
bfns 保暖
bfo 傧
bfo, 傧
bfpa 倍频
bfqb 不分青红皂白
bfqf 保全
bfqr 不乏其人
bfrc 并非如此
bfsc 保湿
bfsd 保守党
bfsf 不分胜负
bfsi 保送
bfsi 倍数
bfsj 便士
bfsm 伴随
bfso 保守
bfsp 便说
bfsq 保税
bfsr 倍受
bfss 便是
bfsz 伴随着
bftt 便条
bftz 膘肥体壮
bfv 堡
bfw 伯
bfwb 变废为宝
bfwc 保温
bfwk 保卫科
bfwm 保卫
bfwn 俾
bfwn 伯
bfwp 保温瓶
bfwq 伴舞
bfws 傍晚
bfwu 便问
bfwz 保卫者
bfxd 保险单
bfxf 保修
bfxg 保险柜
bfxj 保险金
bfxm 保险
bfxq 保修期
bfxs 便携式
bfxt 保鲜
bfxu 便携
bfxw 不法行为
bfxx 保险箱
bfxy 保险业
bfy 倍
bfy. 便以
bfy; 便与
bfyf 保佑
bfyh 便于
bfyi 保养
bfyi 傍
bfyi 倍
bfyj 便要
bfyk 便有
bfyn 便已
bfys 并非易事
bfyy 便衣
bfyy 保育
bfzb 百分之百
bfze 保质
bfzf 保住
bfzf 保值
bfzf 伯仲
bfzh 伴奏
bfzi 伴着
bfzj 保证金
bfzk 便在
bfzm 保障
bfzp 保证
bfzq 保重
bfzr 保证人
bfzs 保证书
bfzt 不法之徒
bfzv 倍增
bfzw 不负众望
bfzy 便装
bfzy 捕风捉影
bg 败
bgba 败北
bgbd 半工半读
bgbg 不尴不尬
bgbj 毕恭毕敬
bgbj 不干不净
bgbq 败笔
bgbs 秉公办事
bgbv 蚌埠
bgcf 宝贵财富
bgcg 罢黜
bgd 崩
bgdd 崩
bgdf 贬低
bgdl 办公大楼
bgdt 不共戴天
bgee 不过尔尔
bgf 贝
bgfg 蝙蝠
bgg/ 败给
bggj 罢工
bggo 罢官
bgh 蚌
bghj 蚌
bghv 败坏
bgj/ 败绩
bgjj 百感交集
bgjm 不甘寂寞
bgjn 败局
bgjz 败家子
bgk 畀
bgkc 崩溃
bgkj 贝壳
bgkp 罢课
bgkx 畀
bglb 败落
bglh 不甘落后
bgli 败类
bglk 崩裂
bgll 败露
bglm 罢了
bgm 岜
bgm; 岜
bgmt 罢免
bgng 睥睨
bgo 髌
bgo, 髌
bgp 蝙
bgpe 崩盘
bgpk 蝙
bgqr 败
bgqx 卑躬屈膝
bgr 贬
bgr. 贬
bgsb 办公设备
bgsd 变革时代
bgsg 闭关锁国
bgsj 半个世纪
bgsp 败诉
bgsq 罢手
bgsr 不甘示弱
bgss 兵贵神速
bgsu 贬损
bgsw 悲观失望
bgsy 不管三七二十一
bgsy 杯弓蛇影
bgsy 罢市
bgtj 博古通今
bgtn 败退
bgtv 崩塌
bgv 罢
bgv. 罢
bgw 髀
bgwn 睥
bgwn 髀
bgwx 报告文学
bgxf 罢休
bgxo 败兴
bgyc 贬义词
bgyi 贬义
bgyj 宝贵意见
bgyp 办公用品
bgyq 不顾一切
bgyx 不苟言笑
bgzc 报告指出
bgzf 贬值
bgzf 败仗
bgzj 败者
bgzm 败阵
bgzp 不攻自破
bgzs 闭关自守
bgzy 悲观主义
bh 表
bh, 玻
bh,g 玻
bhb/ 斑驳
bhbc 碧波
bhbh 帮帮
bhbm 不慌不忙
bhbw 表白
bhbw 斑白
bhc; 班车
bhcn 表层
bhcs 保护措施
bhct 表册
bhcy 班次
bhda 斑点
bhdc 表达出
bhdd 变化多端
bhdi 表弟
bhdk 表达
bhdm 帮倒忙
bhds 表达式
bhdy 班底
bhel 不寒而栗
bhes 不欢而散
bhfp 班房
bhg 帮
bhgb 班干部
bhgj 帮工
bhgs 百货公司
bhgx 表格
bhgx 帮
bhgz 表哥
bhhb 班花
bhhf 帮会
bhhy 不怀好意
bhhy 斑痕
bhi 班
bhih 班
bhj, 表姐
bhj/ 班级
bhjj 帮教
bhjq 表决权
bhjt 斑鸠
bhjx 班机
bhjy 表决
bhk 碧
bhkl 碧
bhko 碧空
bhl/ 碧绿
bhl; 班轮
bhlb 碧蓝
bhlc 玻璃窗
bhlg 表里
bhlh 玻璃
bhlh 悲欢离合
bhll 表露
bhlp 玻璃瓶
bhls 辩护律师
bhly 斑斓
bhlz 表链
bhm 邦
bhm, 表妹
bhm/ 斑马
bhm; 耙
bhmc 变幻莫测
bhmh 表面化
bhmj 表面积
bhmk 表面
bhml 兵荒马乱
bhmo 帮忙
bhms 表明
bhmx 斑马线
bhp, 表皮
bhpc 帮派
bhpe 表盘
bhqd 帮腔
bhqf 百花齐放
bhqo 表情
bhqy 表亲
bhr 玢
bhr, 玢
bhrf 帮人
bhsa 班上
bhsc 百货商场
bhsh 表示
bhsj 表述
bhsq 帮手
bhsw 拨号上网
bhsy 表率
bhtk 表态
bhtr 表
bhwc 变幻无常
bhxc 表现出
bhxh 表现
bhxr 帮凶
bhxt 表象
bhxw 表现为
bhxz 表现在
bhy 斑
bhyc 表演
bhyh 碧玉
bhyp 表语
bhyr 斑
bhys 不好意思
bhyu 表扬
bhyy 表意
bhz/ 班组
bhze 表征
bhzg 帮助
bhzh 表彰会
bhzi 帮着
bhzm 班子
bhzn 不惑之年
bhzq 班长
bhzr 班主任
bhzx 帮助下
bhzy 表彰
bi 并
biau 并按
bib, 半边
bibd 并不多
bibh 并不会
bibk 并不
bibn 并不能
bibp 并被
bibs 并不是
bibt 半边天
bibu 并把
biby 弊病
bibz 并不在
bicf 并从
bici 爆炒
bick 并存
bicm 爆出
bicm 迸出
bicp 半成品
bicq 半程
bict 并处
bicv 半场
bid. 并对
bid; 并到
bida 半点
bidd 并得到
bidl 并蒂莲
bidt 半岛
bidt 半导体
bidy 弊端
bif, 爆发
bifa 并非
bifj 半封建
bifm 并附
bifr 半分
bifz 并发症
big; 并轨
bigf 半个
bigg 并购
bigy 半个月
bih 半
bihb 并获
bihf 并会
bihq 并和
bihw 并
bihx 半
bij 炳
bij, 炳
bijd 蹩脚
bije 半径
bijf 半价
bijh 并进
bijj 半截
bijl 并建立
bijo 并举
bijp 并肩
bijs 半决赛
bijt 半角
bijt 半句
bijy 并将
bik 弊
bikl 并口
biko 半空
bikx 弊
bikz 并可
bil 蹩
bila 蹩
bilj 并联
bilk 并列
bill 半路
bilm 爆冷门
bilu 并拢
bily 并立
bim 粑
bim; 粑
bimc 爆满
bimh 爆米花
bimu 憋闷
bimy 并没有
bin. 并能
bing 并能够
binn 半年内
binq 半年
bip 憋
bipj 半票
bipk 爆破
bipk 煸
bipo 憋
bipu 并排
bipv 迸
biq 敝
biqg 并且
biqh 半球
biqj 半期
biqq 憋气
biqr 敝
birp 并让
birr 并入
birs 半日
bis 爆
bisf 并使
bisi 半数
bisj 爆
bisk 半死
bisq 半生
biss 半晌
bisw 半身
bisy 半山腰
bit 鳖
bitf 半途
bitg 鳖
bith 半天
biwh 并未
biwh 并无
biwi 并为
biwm 半文盲
bixe 并行
bixq 爆笑
bixs 半小时
bixw 并向
biy 焙
biy. 并以
biy; 并与
biyc 并以此
biyd 半月
biyg 半圆
biyh 并于
biyi 焙
biyj 并要
biyk 并有
biyn 并已
biyt 并用
biyy 半夜
biz; 并转
bizd 半自动
bizi 爆炸
bizk 并在
bizq 爆竹
bizq 并重
bizw 爆炸物
bizx 爆炸性
bj 本
bj, 勃
bj,v 丙
bj; 甏
bj;. 甏
bjao 本案
bjar 博爱
bjbc 不计报酬
bjbd 兵家必争之地
bjbf 本办法
bjbk 本不
bjbl 半斤八两
bjbl 不即不离
bjbm 不紧不慢
bjbn 笔记本电脑
bjbs 不见不散
bjbs 八九不离十
bjbu 本报
bjbw 本币
bjbx 本报讯
bjby 本部
bjbz 不骄不躁
bjcb 编辑出版
bjck 本厂
bjcq 鞭策
bjcq 鞭笞
bjcr 博彩
bjcs 饱经沧桑
bjcv 本场
bjcx 本村
bjcy 本次
bjde 博得
bjdk 博大
bjdm 本队
bjdn 不减当年
